Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
3,2407.0,1.00000000,0.00000000,0.00029875,0.00009576,4.24875622,11
2,57.0,1.00000000,0.00000000,0.00000855,0.00007575,5.80071863,14
3,1938.0,1.00000000,0.00000000,0.00176057,0.00007524,4.08927584,11
4,4451.0,0.66666667,0.00000037,0.00068268,0.00013457,4.10364842,12
2,1561.0,1.00000000,0.00000000,0.00078910,0.00008792,4.12133776,11
2,1357.0,1.00000000,0.00000000,0.00278576,0.00007572,3.86263129,11
26,59791.0,0.75076923,0.00001896,0.03207407,0.00042769,3.56937535,12
4,2716.0,0.66666667,0.00000203,0.00162494,0.00011747,4.08070757,11
2,539.0,0.00000000,0.00000775,0.00007471,0.00007022,4.62658928,11
1,95.0,0.00000000,0.00000000,0.00023721,0.00004397,4.54643449,11
3,726.0,1.00000000,0.00000000,0.00030112,0.00007358,4.23355445,11
1,1138.0,0.00000000,0.00000000,0.00077509,0.00005898,4.12161415,11
3,396.0,1.00000000,0.00000000,0.00104705,0.00005158,4.16113875,11
50,84307.5,0.43836735,0.00054572,0.06665999,0.00087493,3.29353234,11
7,5016.5,0.90476190,0.00000010,0.00098883,0.00009705,4.29906025,11
17,47199.5,0.26470588,0.00065574,0.00170463,0.00079703,4.08430072,12
5,7475.5,0.80000000,0.00000005,0.00643698,0.00011998,3.68352681,11
2,38.0,1.00000000,0.00000000,0.00000019,0.00007886,6.09508015,13
3,1823.0,0.66666667,0.00055229,0.00002502,0.00017875,4.90768380,11
13,13294.0,0.29487179,0.00361816,0.00478424,0.00034152,3.90160310,12
2,357.0,1.00000000,0.00000000,0.00215591,0.00004600,4.01105583,12
1,48.0,0.00000000,0.00000000,0.00018090,0.00004324,4.75538972,12
23,37977.0,0.57707510,0.00009418,0.03027409,0.00037884,3.50000000,11
4,9529.5,1.00000000,0.00000000,0.00821161,0.00014432,3.57711443,11
1,1365.0,0.00000000,0.00000000,0.00023721,0.00007760,4.54643449,11
